"","date","series","value","frequency","series_type","units","source","pub_date","series_id","description","table_title"
"45",1933-09-30,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"46",1933-12-31,"Qrtrlyinfltn–evi",-0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"47",1934-03-31,"Qrtrlyinfltn–evi",0.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"48",1934-06-30,"Qrtrlyinfltn–evi",1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"49",1934-09-30,"Qrtrlyinfltn–evi",0,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"50",1934-12-31,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"51",1935-03-31,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"52",1935-06-30,"Qrtrlyinfltn–evi",0.4,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"53",1935-09-30,"Qrtrlyinfltn–evi",1.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"54",1935-12-31,"Qrtrlyinfltn–evi",0.1,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"55",1936-03-31,"Qrtrlyinfltn–evi",0,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"56",1936-06-30,"Qrtrlyinfltn–evi",0.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"57",1936-09-30,"Qrtrlyinfltn–evi",1.7,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"58",1936-12-31,"Qrtrlyinfltn–evi",0.7,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"59",1937-03-31,"Qrtrlyinfltn–evi",0.2,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
"60",1937-06-30,"Qrtrlyinfltn–evi",0.5,"Quarterly","Original","Per cent","ABS / RBA",2024-04-26,"GCPIAGQP","Consumer price index; All groups; Original; Quarterly change (in per cent)","G1 Consumer Price Inflation"
